url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/19894813-general-worker-pekerja-am-mcdonalds-pandu-lalu-sri-manjung-2,19894813,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,2 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/19894851-general-worker-pekerja-am-mcdonalds-pandu-lalu-sri-manjung-1,19894851,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,2 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1605886-kru-restaurant-mcdonalds-pandu-lalu-sri-manjung-1,1605886,Kru Restaurant ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1815202-guest-experience-leader-mcdonalds-pandu-lalu-sri-manjung-1,1815202,Guest Experience Leader ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Per Month",N/A,Perak,"MYR1,400 - MYR2,600 Per Month",5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1815319-guest-experience-leader-mcdonalds-pandu-lalu-sri-manjung-2,1815319,Guest Experience Leader ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Per Month",N/A,Perak,"MYR1,400 - MYR2,600 Per Month",5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/2313311-juruteknik-mcdonalds-pandu-lalu-sri-manjung-2,2313311,JuruTeknik ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Per Month",N/A,Perak,"Up to MYR1,800 Per Month",4 years ago,Any Skill,part-time-manjung
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-manjung
https://www.maukerja.my/job/17979780-health-advisor-aeon-sri-manjung,17979780,Health Advisor ( AEON SRI MANJUNG ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Perak,"Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-manjung
https://www.maukerja.my/job?jobId=26220965&slug=advisory-associate,N/A,Advisory Associate,Al Isra' Group,"MYR1,877.55 - MYR9,800.20 Sebulan","Sepenuh Masa,",Seri Manjung,"MYR1,877.55 - MYR9,800.20 Sebulan",10 days ago,N/A,part-time-manjung
https://www.maukerja.my/job/24282312-graduate-employability-program-mcdonalds-pandu-lalu-sri-manjung-1,24282312,Graduate Employability Program ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,Perak,Up to MYR12 Sejam,8 months ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/24282281-graduate-employability-program-mcdonalds-pandu-lalu-sri-manjung-2,24282281,Graduate Employability Program ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,Perak,Up to MYR12 Sejam,8 months ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/22955906-technical-assistant-mcdonalds-pandu-lalu-sri-manjung-1,22955906,Technical Assistant ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,Perak,"Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/22955873-technical-assistant-mcdonalds-pandu-lalu-sri-manjung-2,22955873,Technical Assistant ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,Perak,"Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/19894813-general-worker-pekerja-am-mcdonalds-pandu-lalu-sri-manjung-2,19894813,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,2 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/19894851-general-worker-pekerja-am-mcdonalds-pandu-lalu-sri-manjung-1,19894851,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,2 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1605886-kru-restaurant-mcdonalds-pandu-lalu-sri-manjung-1,1605886,Kru Restaurant ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1815202-guest-experience-leader-mcdonalds-pandu-lalu-sri-manjung-1,1815202,Guest Experience Leader ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,Perak,"MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1815319-guest-experience-leader-mcdonalds-pandu-lalu-sri-manjung-2,1815319,Guest Experience Leader ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,Perak,"MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/2313311-juruteknik-mcdonalds-pandu-lalu-sri-manjung-2,2313311,JuruTeknik ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,Perak,"Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-manjung
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-manjung
https://www.maukerja.my/job/17979780-health-advisor-aeon-sri-manjung,17979780,Health Advisor ( AEON SRI MANJUNG ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Perak,"Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-manjung
https://www.maukerja.my/job?jobId=26220965&slug=advisory-associate,N/A,Advisory Associate,Al Isra' Group,"MYR1,877.55 - MYR9,800.20 Sebulan","Sepenuh Masa,",Seri Manjung,"MYR1,877.55 - MYR9,800.20 Sebulan",10 days ago,N/A,part-time-manjung
https://www.maukerja.my/job/24282312-graduate-employability-program-mcdonalds-pandu-lalu-sri-manjung-1,24282312,Graduate Employability Program ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,Perak,Up to MYR12 Sejam,8 months ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/24282281-graduate-employability-program-mcdonalds-pandu-lalu-sri-manjung-2,24282281,Graduate Employability Program ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,Perak,Up to MYR12 Sejam,8 months ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/22955906-technical-assistant-mcdonalds-pandu-lalu-sri-manjung-1,22955906,Technical Assistant ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,Perak,"Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/22955873-technical-assistant-mcdonalds-pandu-lalu-sri-manjung-2,22955873,Technical Assistant ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,Perak,"Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/19894813-general-worker-pekerja-am-mcdonalds-pandu-lalu-sri-manjung-2,19894813,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,2 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/19894851-general-worker-pekerja-am-mcdonalds-pandu-lalu-sri-manjung-1,19894851,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,2 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1605886-kru-restaurant-mcdonalds-pandu-lalu-sri-manjung-1,1605886,Kru Restaurant ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1815202-guest-experience-leader-mcdonalds-pandu-lalu-sri-manjung-1,1815202,Guest Experience Leader ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,Perak,"MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1815319-guest-experience-leader-mcdonalds-pandu-lalu-sri-manjung-2,1815319,Guest Experience Leader ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,Perak,"MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/2313311-juruteknik-mcdonalds-pandu-lalu-sri-manjung-2,2313311,JuruTeknik ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,Perak,"Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-manjung
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-manjung
https://www.maukerja.my/job/17979780-health-advisor-aeon-sri-manjung,17979780,Health Advisor ( AEON SRI MANJUNG ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Perak,"Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-manjung
https://www.maukerja.my/job?jobId=26220965&slug=advisory-associate,N/A,Advisory Associate,Al Isra' Group,"MYR1,877.55 - MYR9,800.20 Sebulan","Sepenuh Masa,",Seri Manjung,"MYR1,877.55 - MYR9,800.20 Sebulan",10 days ago,N/A,part-time-manjung
https://www.maukerja.my/job/24282312-graduate-employability-program-mcdonalds-pandu-lalu-sri-manjung-1,24282312,Graduate Employability Program ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,Perak,Up to MYR12 Sejam,8 months ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/24282281-graduate-employability-program-mcdonalds-pandu-lalu-sri-manjung-2,24282281,Graduate Employability Program ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,Perak,Up to MYR12 Sejam,8 months ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/22955906-technical-assistant-mcdonalds-pandu-lalu-sri-manjung-1,22955906,Technical Assistant ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,Perak,"Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/22955873-technical-assistant-mcdonalds-pandu-lalu-sri-manjung-2,22955873,Technical Assistant ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,Perak,"Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/19894813-general-worker-pekerja-am-mcdonalds-pandu-lalu-sri-manjung-2,19894813,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,2 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/19894851-general-worker-pekerja-am-mcdonalds-pandu-lalu-sri-manjung-1,19894851,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,2 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1605886-kru-restaurant-mcdonalds-pandu-lalu-sri-manjung-1,1605886,Kru Restaurant ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1815202-guest-experience-leader-mcdonalds-pandu-lalu-sri-manjung-1,1815202,Guest Experience Leader ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,Perak,"MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1815319-guest-experience-leader-mcdonalds-pandu-lalu-sri-manjung-2,1815319,Guest Experience Leader ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,Perak,"MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/2313311-juruteknik-mcdonalds-pandu-lalu-sri-manjung-2,2313311,JuruTeknik ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,Perak,"Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-manjung
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-manjung
https://www.maukerja.my/job/17979780-health-advisor-aeon-sri-manjung,17979780,Health Advisor ( AEON SRI MANJUNG ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Perak,"Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-manjung
https://www.maukerja.my/job?jobId=26220965&slug=advisory-associate,N/A,Advisory Associate,Al Isra' Group,"MYR1,877.55 - MYR9,800.20 Sebulan","Sepenuh Masa,",Seri Manjung,"MYR1,877.55 - MYR9,800.20 Sebulan",10 days ago,N/A,part-time-manjung
https://www.maukerja.my/job/24282312-graduate-employability-program-mcdonalds-pandu-lalu-sri-manjung-1,24282312,Graduate Employability Program ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,Perak,Up to MYR12 Sejam,8 months ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/24282281-graduate-employability-program-mcdonalds-pandu-lalu-sri-manjung-2,24282281,Graduate Employability Program ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,Perak,Up to MYR12 Sejam,8 months ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/22955906-technical-assistant-mcdonalds-pandu-lalu-sri-manjung-1,22955906,Technical Assistant ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,Perak,"Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/22955873-technical-assistant-mcdonalds-pandu-lalu-sri-manjung-2,22955873,Technical Assistant ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,Perak,"Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/19894813-general-worker-pekerja-am-mcdonalds-pandu-lalu-sri-manjung-2,19894813,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,2 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/19894851-general-worker-pekerja-am-mcdonalds-pandu-lalu-sri-manjung-1,19894851,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,2 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1605886-kru-restaurant-mcdonalds-pandu-lalu-sri-manjung-1,1605886,Kru Restaurant ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1815202-guest-experience-leader-mcdonalds-pandu-lalu-sri-manjung-1,1815202,Guest Experience Leader ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,Perak,"MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1815319-guest-experience-leader-mcdonalds-pandu-lalu-sri-manjung-2,1815319,Guest Experience Leader ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,Perak,"MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/2313311-juruteknik-mcdonalds-pandu-lalu-sri-manjung-2,2313311,JuruTeknik ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,Perak,"Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-manjung
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-manjung
https://www.maukerja.my/job/17979780-health-advisor-aeon-sri-manjung,17979780,Health Advisor ( AEON SRI MANJUNG ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Perak,"Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-manjung
https://www.maukerja.my/job?jobId=26220965&slug=advisory-associate,N/A,Advisory Associate,Al Isra' Group,"MYR1,877.55 - MYR9,800.20 Sebulan","Sepenuh Masa,",Seri Manjung,"MYR1,877.55 - MYR9,800.20 Sebulan",10 days ago,N/A,part-time-manjung
https://www.maukerja.my/job/24282312-graduate-employability-program-mcdonalds-pandu-lalu-sri-manjung-1,24282312,Graduate Employability Program ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,Perak,Up to MYR12 Sejam,8 months ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/24282281-graduate-employability-program-mcdonalds-pandu-lalu-sri-manjung-2,24282281,Graduate Employability Program ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,Perak,Up to MYR12 Sejam,8 months ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/22955906-technical-assistant-mcdonalds-pandu-lalu-sri-manjung-1,22955906,Technical Assistant ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,Perak,"Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/22955873-technical-assistant-mcdonalds-pandu-lalu-sri-manjung-2,22955873,Technical Assistant ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,Perak,"Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/19894813-general-worker-pekerja-am-mcdonalds-pandu-lalu-sri-manjung-2,19894813,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,2 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/19894851-general-worker-pekerja-am-mcdonalds-pandu-lalu-sri-manjung-1,19894851,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,2 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1605886-kru-restaurant-mcdonalds-pandu-lalu-sri-manjung-1,1605886,Kru Restaurant ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,Perak,Undisclosed,5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1815202-guest-experience-leader-mcdonalds-pandu-lalu-sri-manjung-1,1815202,Guest Experience Leader ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,Perak,"MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/1815319-guest-experience-leader-mcdonalds-pandu-lalu-sri-manjung-2,1815319,Guest Experience Leader ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,Perak,"MYR1,400 - MYR2,600 Sebulan",5 years ago,Any Skill,part-time-manjung
https://www.maukerja.my/job/2313311-juruteknik-mcdonalds-pandu-lalu-sri-manjung-2,2313311,JuruTeknik ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,Perak,"Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-manjung
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-manjung
https://www.maukerja.my/job/17979780-health-advisor-aeon-sri-manjung,17979780,Health Advisor ( AEON SRI MANJUNG ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Perak,"Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-manjung
https://www.maukerja.my/job?jobId=26220965&slug=advisory-associate,N/A,Advisory Associate,Al Isra' Group,"MYR1,877.55 - MYR9,800.20 Sebulan","Sepenuh Masa,",Seri Manjung,"MYR1,877.55 - MYR9,800.20 Sebulan",10 days ago,N/A,part-time-manjung
